shell,3437
javascript,3410
html,3265
css,3128
python,2798
powershell,2072
makefile,1997
batchfile,1987
java,1922
ruby,1782
objective,1280
typescript,1078
php,972
go,903
cmake,827
perl,824
asp,814
groovy,725
coffeescript,624
script,554
vim,548
xslt,492
assembly,380
protocol,371
buffer,371
basic,361
visual,361
tex,355
lisp,336
smalltalk,322
scala,284
emacs,283
notebook,261
jupyter,261
lua,256
apacheconf,254
m4,250
swift,235
haskell,216
smarty,213
arduino,208
glsl,206
matlab,181
awk,178
groff,170
machine,168
gcc,168
description,168
rust,149
clojure,148
